date,time,currency,impact,event
2023-01-04,14:00,USD,HIGH,FOMC Meeting Minutes
2023-01-06,08:30,USD,HIGH,Non-Farm Payrolls
2023-01-06,08:30,USD,HIGH,Unemployment Rate
2023-01-12,08:30,USD,HIGH,CPI m/m
2023-01-12,08:30,USD,HIGH,Core CPI m/m
2023-01-18,08:30,USD,HIGH,Retail Sales m/m
2023-01-26,08:30,USD,HIGH,Advance GDP q/q
2023-02-01,14:00,USD,HIGH,FOMC Statement
2023-02-01,14:00,USD,HIGH,Federal Funds Rate
2023-02-02,07:00,GBP,HIGH,BOE Rate Decision
2023-02-02,08:15,EUR,HIGH,ECB Rate Decision
2023-02-03,08:30,USD,HIGH,Non-Farm Payrolls
2023-02-03,08:30,USD,HIGH,Unemployment Rate
2023-02-14,08:30,USD,HIGH,CPI m/m
2023-02-14,08:30,USD,HIGH,Core CPI m/m
2023-02-15,08:30,USD,HIGH,Retail Sales m/m
2023-02-23,08:30,USD,HIGH,Preliminary GDP q/q
2023-03-08,08:15,USD,HIGH,ADP Non-Farm Employment Change
2023-03-10,08:30,USD,HIGH,Non-Farm Payrolls
2023-03-10,08:30,USD,HIGH,Unemployment Rate
2023-03-14,08:30,USD,HIGH,CPI m/m
2023-03-14,08:30,USD,HIGH,Core CPI m/m
2023-03-15,08:30,USD,HIGH,Retail Sales m/m
2023-03-16,08:15,EUR,HIGH,ECB Rate Decision
2023-03-22,14:00,USD,HIGH,FOMC Statement
2023-03-22,14:00,USD,HIGH,Federal Funds Rate
2023-03-23,07:00,GBP,HIGH,BOE Rate Decision
2023-03-30,08:30,USD,HIGH,Final GDP q/q
2023-04-05,08:15,USD,HIGH,ADP Non-Farm Employment Change
2023-04-07,08:30,USD,HIGH,Non-Farm Payrolls
2023-04-07,08:30,USD,HIGH,Unemployment Rate
2023-04-12,08:30,USD,HIGH,CPI m/m
2023-04-12,08:30,USD,HIGH,Core CPI m/m
2023-04-14,08:30,USD,HIGH,Retail Sales m/m
2023-04-27,08:30,USD,HIGH,Advance GDP q/q
2023-05-03,14:00,USD,HIGH,FOMC Statement
2023-05-03,14:00,USD,HIGH,Federal Funds Rate
2023-05-04,08:15,EUR,HIGH,ECB Rate Decision
2023-05-05,08:30,USD,HIGH,Non-Farm Payrolls
2023-05-05,08:30,USD,HIGH,Unemployment Rate
2023-05-10,08:30,USD,HIGH,CPI m/m
2023-05-10,08:30,USD,HIGH,Core CPI m/m
2023-05-11,07:00,GBP,HIGH,BOE Rate Decision
2023-05-16,08:30,USD,HIGH,Retail Sales m/m
2023-05-25,08:30,USD,HIGH,Preliminary GDP q/q
2023-06-01,08:15,USD,HIGH,ADP Non-Farm Employment Change
2023-06-01,10:00,USD,HIGH,ISM Manufacturing PMI
2023-06-02,08:30,USD,HIGH,Non-Farm Payrolls
2023-06-02,08:30,USD,HIGH,Unemployment Rate
2023-06-06,10:00,USD,HIGH,ISM Non-Manufacturing PMI
2023-06-13,08:30,USD,HIGH,CPI m/m
2023-06-13,08:30,USD,HIGH,Core CPI m/m
2023-06-14,14:00,USD,HIGH,FOMC Statement
2023-06-14,14:00,USD,HIGH,Federal Funds Rate
2023-06-15,08:30,USD,HIGH,Retail Sales m/m
2023-06-15,08:15,EUR,HIGH,ECB Rate Decision
2023-06-22,07:00,GBP,HIGH,BOE Rate Decision
2023-06-27,10:00,USD,HIGH,CB Consumer Confidence
2023-06-29,08:30,USD,HIGH,Final GDP q/q
2023-06-30,08:30,USD,HIGH,Core PCE Price Index m/m
2023-07-06,08:15,USD,HIGH,ADP Non-Farm Employment Change
2023-07-07,08:30,USD,HIGH,Non-Farm Payrolls
2023-07-07,08:30,USD,HIGH,Unemployment Rate
2023-07-12,08:30,USD,HIGH,CPI m/m
2023-07-12,08:30,USD,HIGH,Core CPI m/m
2023-07-18,08:30,USD,HIGH,Retail Sales m/m
2023-07-26,14:00,USD,HIGH,FOMC Statement
2023-07-26,14:00,USD,HIGH,Federal Funds Rate
2023-07-27,08:15,EUR,HIGH,ECB Rate Decision
2023-07-27,08:30,USD,HIGH,Advance GDP q/q
2023-08-01,10:00,USD,HIGH,ISM Manufacturing PMI
2023-08-02,08:15,USD,HIGH,ADP Non-Farm Employment Change
2023-08-03,07:00,GBP,HIGH,BOE Rate Decision
2023-08-04,08:30,USD,HIGH,Non-Farm Payrolls
2023-08-04,08:30,USD,HIGH,Unemployment Rate
2023-08-10,08:30,USD,HIGH,CPI m/m
2023-08-10,08:30,USD,HIGH,Core CPI m/m
2023-08-15,08:30,USD,HIGH,Retail Sales m/m
2023-08-30,08:30,USD,HIGH,Preliminary GDP q/q
2023-09-01,08:30,USD,HIGH,Non-Farm Payrolls
2023-09-01,08:30,USD,HIGH,Unemployment Rate
2023-09-06,10:00,USD,HIGH,ISM Non-Manufacturing PMI
2023-09-13,08:30,USD,HIGH,CPI m/m
2023-09-13,08:30,USD,HIGH,Core CPI m/m
2023-09-14,08:15,EUR,HIGH,ECB Rate Decision
2023-09-14,08:30,USD,HIGH,Retail Sales m/m
2023-09-20,14:00,USD,HIGH,FOMC Statement
2023-09-20,14:00,USD,HIGH,Federal Funds Rate
2023-09-21,07:00,GBP,HIGH,BOE Rate Decision
2023-09-28,08:30,USD,HIGH,Final GDP q/q
2023-10-04,08:15,USD,HIGH,ADP Non-Farm Employment Change
2023-10-06,08:30,USD,HIGH,Non-Farm Payrolls
2023-10-06,08:30,USD,HIGH,Unemployment Rate
2023-10-12,08:30,USD,HIGH,CPI m/m
2023-10-12,08:30,USD,HIGH,Core CPI m/m
2023-10-17,08:30,USD,HIGH,Retail Sales m/m
2023-10-26,08:30,USD,HIGH,Advance GDP q/q
2023-10-26,08:15,EUR,HIGH,ECB Rate Decision
2023-11-01,14:00,USD,HIGH,FOMC Statement
2023-11-01,14:00,USD,HIGH,Federal Funds Rate
2023-11-02,07:00,GBP,HIGH,BOE Rate Decision
2023-11-03,08:30,USD,HIGH,Non-Farm Payrolls
2023-11-03,08:30,USD,HIGH,Unemployment Rate
2023-11-14,08:30,USD,HIGH,CPI m/m
2023-11-14,08:30,USD,HIGH,Core CPI m/m
2023-11-15,08:30,USD,HIGH,Retail Sales m/m
2023-11-29,08:30,USD,HIGH,Preliminary GDP q/q
2023-12-06,08:15,USD,HIGH,ADP Non-Farm Employment Change
2023-12-08,08:30,USD,HIGH,Non-Farm Payrolls
2023-12-08,08:30,USD,HIGH,Unemployment Rate
2023-12-12,08:30,USD,HIGH,CPI m/m
2023-12-12,08:30,USD,HIGH,Core CPI m/m
2023-12-13,14:00,USD,HIGH,FOMC Statement
2023-12-13,14:00,USD,HIGH,Federal Funds Rate
2023-12-14,08:15,EUR,HIGH,ECB Rate Decision
2023-12-14,07:00,GBP,HIGH,BOE Rate Decision
2023-12-14,08:30,USD,HIGH,Retail Sales m/m
2023-12-21,08:30,USD,HIGH,Final GDP q/q
2023-12-22,08:30,USD,HIGH,Core PCE Price Index m/m
