scheduled_time_utc,name,currency,impact,source
2026-08-07T12:30:00Z,Average Hourly Earnings m/m,USD,HIGH,FOREX_FACTORY
2026-08-07T12:30:00Z,Non-Farm Employment Change,USD,HIGH,FOREX_FACTORY
2026-08-07T12:30:00Z,Unemployment Rate,USD,HIGH,FOREX_FACTORY
2026-08-12T12:30:00Z,Core CPI m/m,USD,HIGH,FOREX_FACTORY
2026-08-12T12:30:00Z,Core CPI y/y,USD,HIGH,FOREX_FACTORY
2026-08-12T12:30:00Z,CPI m/m,USD,HIGH,FOREX_FACTORY
2026-08-12T12:30:00Z,CPI y/y,USD,HIGH,FOREX_FACTORY
2026-08-13T06:00:00Z,GDP m/m,GBP,HIGH,FOREX_FACTORY
2026-08-13T12:30:00Z,Core PPI m/m,USD,HIGH,FOREX_FACTORY
2026-08-13T12:30:00Z,PPI m/m,USD,HIGH,FOREX_FACTORY
2026-08-18T06:00:00Z,Claimant Count Change,GBP,HIGH,FOREX_FACTORY
2026-08-19T06:00:00Z,CPI y/y,GBP,HIGH,FOREX_FACTORY
2026-08-19T18:00:00Z,FOMC Meeting Minutes,USD,HIGH,FOREX_FACTORY
2026-08-26T12:30:00Z,Core PCE Price Index m/m,USD,HIGH,FOREX_FACTORY
2026-08-26T12:30:00Z,Prelim GDP q/q,USD,HIGH,FOREX_FACTORY
2026-08-28T14:00:00Z,Prelim Benchmark Payrolls Revision,USD,HIGH,FOREX_FACTORY
2026-09-01T14:00:00Z,ISM Manufacturing PMI,USD,HIGH,FOREX_FACTORY
2026-09-03T14:00:00Z,ISM Services PMI,USD,HIGH,FOREX_FACTORY
2026-09-04T12:30:00Z,Average Hourly Earnings m/m,USD,HIGH,FOREX_FACTORY
2026-09-04T12:30:00Z,Non-Farm Employment Change,USD,HIGH,FOREX_FACTORY
2026-09-04T12:30:00Z,Unemployment Rate,USD,HIGH,FOREX_FACTORY
2026-09-10T12:15:00Z,Main Refinancing Rate,EUR,HIGH,FOREX_FACTORY
2026-09-10T12:15:00Z,Monetary Policy Statement,EUR,HIGH,FOREX_FACTORY
2026-09-10T12:30:00Z,Core PPI m/m,USD,HIGH,FOREX_FACTORY
2026-09-10T12:30:00Z,PPI m/m,USD,HIGH,FOREX_FACTORY
2026-09-10T12:45:00Z,ECB Press Conference,EUR,HIGH,FOREX_FACTORY
2026-09-11T06:00:00Z,GDP m/m,GBP,HIGH,FOREX_FACTORY
2026-09-11T12:30:00Z,Core CPI m/m,USD,HIGH,FOREX_FACTORY
2026-09-11T12:30:00Z,Core CPI y/y,USD,HIGH,FOREX_FACTORY
2026-09-11T12:30:00Z,CPI m/m,USD,HIGH,FOREX_FACTORY
2026-09-11T12:30:00Z,CPI y/y,USD,HIGH,FOREX_FACTORY
2026-09-15T06:00:00Z,Claimant Count Change,GBP,HIGH,FOREX_FACTORY
2026-09-16T06:00:00Z,CPI y/y,GBP,HIGH,FOREX_FACTORY
2026-09-17T11:00:00Z,Monetary Policy Summary,GBP,HIGH,FOREX_FACTORY
2026-09-17T11:00:00Z,MPC Official Bank Rate Votes,GBP,HIGH,FOREX_FACTORY
2026-09-17T11:00:00Z,Official Bank Rate,GBP,HIGH,FOREX_FACTORY
2026-09-30T12:30:00Z,Core PCE Price Index m/m,USD,HIGH,FOREX_FACTORY
2026-09-30T12:30:00Z,Final GDP q/q,USD,HIGH,FOREX_FACTORY
2026-10-01T14:00:00Z,ISM Manufacturing PMI,USD,HIGH,FOREX_FACTORY
2026-10-02T12:30:00Z,Average Hourly Earnings m/m,USD,HIGH,FOREX_FACTORY
2026-10-02T12:30:00Z,Non-Farm Employment Change,USD,HIGH,FOREX_FACTORY
2026-10-02T12:30:00Z,Unemployment Rate,USD,HIGH,FOREX_FACTORY
2026-10-05T14:00:00Z,ISM Services PMI,USD,HIGH,FOREX_FACTORY
2026-10-07T18:00:00Z,FOMC Meeting Minutes,USD,HIGH,FOREX_FACTORY
2026-10-14T12:30:00Z,Core CPI m/m,USD,HIGH,FOREX_FACTORY
2026-10-14T12:30:00Z,Core CPI y/y,USD,HIGH,FOREX_FACTORY
2026-10-14T12:30:00Z,CPI m/m,USD,HIGH,FOREX_FACTORY
2026-10-14T12:30:00Z,CPI y/y,USD,HIGH,FOREX_FACTORY
2026-10-15T06:00:00Z,Claimant Count Change,GBP,HIGH,FOREX_FACTORY
2026-10-15T06:00:00Z,GDP m/m,GBP,HIGH,FOREX_FACTORY
2026-10-15T12:30:00Z,Core PPI m/m,USD,HIGH,FOREX_FACTORY
2026-10-15T12:30:00Z,Core Retail Sales m/m,USD,HIGH,FOREX_FACTORY
2026-10-15T12:30:00Z,PPI m/m,USD,HIGH,FOREX_FACTORY
2026-10-15T12:30:00Z,Retail Sales m/m,USD,HIGH,FOREX_FACTORY
2026-10-21T06:00:00Z,CPI y/y,GBP,HIGH,FOREX_FACTORY
2026-10-29T12:15:00Z,Main Refinancing Rate,EUR,HIGH,FOREX_FACTORY
2026-10-29T12:15:00Z,Monetary Policy Statement,EUR,HIGH,FOREX_FACTORY
2026-10-29T12:30:00Z,Advance GDP q/q,USD,HIGH,FOREX_FACTORY
2026-10-29T12:30:00Z,Core PCE Price Index m/m,USD,HIGH,FOREX_FACTORY
2026-10-29T12:45:00Z,ECB Press Conference,EUR,HIGH,FOREX_FACTORY
